Condensate #,gma,Biomolecular Condensates,Assignment,Verified Plant,Predicted Plant,Verified Other,Predicted Other,Linked Papers,Unnamed: 8,Verified Plant Match,Verified Plant Match Uniprot ID
1,Nucleus,Nuclear speckle,Wen,"- SR1/SRp34, RSZ33, RS2Z33, SC35 (SRSF2), SR45 and SR45a, RBP1, UBP1,",,"GRPs (e.g., GRP7, GRP8), U1-70K, U2AF35a, U2AF35b,CypRS64
",,,,"['SR1', [' sp|Q9LQX2|MPSR1_ARATH E3 ubiquitin-protein ligase MPSR1 OS=Arabidopsis thaliana OX=3702 GN=MPSR1 PE=1 SV=1', ' sp|Q9LU40|MSR1_ARATH Protein MANNAN SYNTHESIS-RELATED 1 OS=Arabidopsis thaliana OX=3702 GN=MSR1 PE=2 SV=1', ' sp|Q66GP0|SR1P1_ARATH BTB/POZ domain-containing protein SR1IP1 OS=Arabidopsis thaliana OX=3702 GN=SR1IP1 PE=1 SV=2', ' tr|Q9SR10|Q9SR10_ARATH At3g04640 OS=Arabidopsis thaliana OX=3702 GN=At3g04640 PE=1 SV=1', ' tr|Q9SR12|Q9SR12_ARATH Alba DNA/RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=DAN1 PE=1 SV=1', ' tr|Q9SR12|Q9SR12_ARATH Alba DNA/RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=DAN1 PE=1 SV=1', ' sp|Q9SAD4|ESR1_ARATH Ethylene-responsive transcription factor ESR1 OS=Arabidopsis thaliana OX=3702 GN=ESR1 PE=1 SV=1', ' tr|Q9SR18|Q9SR18_ARATH F7O18.3 protein OS=Arabidopsis thaliana OX=3702 GN=At3g04560 PE=1 SV=1', ' tr|Q9SR18|Q9SR18_ARATH F7O18.3 protein OS=Arabidopsis thaliana OX=3702 GN=At3g04560 PE=1 SV=1', ' sp|A0A178VBJ0|APSR1_ARATH Protein ALTERED PHOSPHATE STARVATION RESPONSE 1 OS=Arabidopsis thaliana OX=3702 GN=APSR1 PE=2 SV=1', ' sp|A0A178VBJ0|APSR1_ARATH Protein ALTERED PHOSPHATE STARVATION RESPONSE 1 OS=Arabidopsis thaliana OX=3702 GN=APSR1 PE=2 SV=1'], 'SRp34', [], 'RSZ33', [' sp|Q8VYA5|RSZ33_ARATH Serine/arginine-rich splicing factor RS2Z33 OS=Arabidopsis thaliana OX=3702 GN=RS2Z33 PE=1 SV=1'], 'RS2Z33', [' sp|Q8VYA5|RSZ33_ARATH Serine/arginine-rich splicing factor RS2Z33 OS=Arabidopsis thaliana OX=3702 GN=RS2Z33 PE=1 SV=1'], 'SC35', [' sp|Q9LHP2|SL30A_ARATH Serine/arginine-rich SC35-like splicing factor SCL30A OS=Arabidopsis thaliana OX=3702 GN=SCL30A PE=1 SV=1', ' sp|Q9LHP2|SL30A_ARATH Serine/arginine-rich SC35-like splicing factor SCL30A OS=Arabidopsis thaliana OX=3702 GN=SCL30A PE=1 SV=1', ' sp|Q9SEU4|SRC33_ARATH Serine/arginine-rich SC35-like splicing factor SCL33 OS=Arabidopsis thaliana OX=3702 GN=SCL33 PE=1 SV=1', ' sp|Q9SEU4|SRC33_ARATH Serine/arginine-rich SC35-like splicing factor SCL33 OS=Arabidopsis thaliana OX=3702 GN=SCL33 PE=1 SV=1', ' sp|Q9FMG4|SC35_ARATH Serine/arginine-rich splicing factor SC35 OS=Arabidopsis thaliana OX=3702 GN=SC35 PE=1 SV=1', ' sp|Q8L3X8|SRC30_ARATH Serine/arginine-rich SC35-like splicing factor SCL30 OS=Arabidopsis thaliana OX=3702 GN=SCL30 PE=1 SV=1', ' sp|Q8L3X8|SRC30_ARATH Serine/arginine-rich SC35-like splicing factor SCL30 OS=Arabidopsis thaliana OX=3702 GN=SCL30 PE=1 SV=1', ' sp|Q1PDV2|SRC28_ARATH Serine/arginine-rich SC35-like splicing factor SCL28 OS=Arabidopsis thaliana OX=3702 GN=SCL28 PE=1 SV=1', ' sp|Q1PDV2|SRC28_ARATH Serine/arginine-rich SC35-like splicing factor SCL28 OS=Arabidopsis thaliana OX=3702 GN=SCL28 PE=1 SV=1'], 'SRSF2', [], 'SR45', [' sp|Q84TH4|SR45A_ARATH Serine/arginine-rich splicing factor SR45a OS=Arabidopsis thaliana OX=3702 GN=SR45A PE=1 SV=1', ' sp|Q84TH4|SR45A_ARATH Serine/arginine-rich splicing factor SR45a OS=Arabidopsis thaliana OX=3702 GN=SR45A PE=1 SV=1', ' sp|Q9SEE9|SR45_ARATH Serine/arginine-rich splicing factor SR45 OS=Arabidopsis thaliana OX=3702 GN=SR45 PE=1 SV=1', ' sp|Q9SEE9|SR45_ARATH Serine/arginine-rich splicing factor SR45 OS=Arabidopsis thaliana OX=3702 GN=SR45 PE=1 SV=1'], 'SR45a', [' sp|Q84TH4|SR45A_ARATH Serine/arginine-rich splicing factor SR45a OS=Arabidopsis thaliana OX=3702 GN=SR45A PE=1 SV=1', ' sp|Q84TH4|SR45A_ARATH Serine/arginine-rich splicing factor SR45a OS=Arabidopsis thaliana OX=3702 GN=SR45A PE=1 SV=1'], 'RBP1', [' sp|P92985|RBP1C_ARATH Ran-binding protein 1 homolog c OS=Arabidopsis thaliana OX=3702 GN=RANBP1C PE=2 SV=1', ' sp|P92985|RBP1C_ARATH Ran-binding protein 1 homolog c OS=Arabidopsis thaliana OX=3702 GN=RANBP1C PE=2 SV=1', ' sp|Q9FFZ6|RBP11_ARATH Small RNA-binding protein 11; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=S-RBP11 PE=2 SV=1', ' sp|Q9C652|RBP1_ARATH RNA-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=RBP1 PE=2 SV=1', ' sp|Q9LMK7|RBP1A_ARATH Ran-binding protein 1 homolog a OS=Arabidopsis thaliana OX=3702 GN=RANBP1A PE=1 SV=1', ' sp|Q9LMK7|RBP1A_ARATH Ran-binding protein 1 homolog a OS=Arabidopsis thaliana OX=3702 GN=RANBP1A PE=1 SV=1', ' sp|Q8RWG8|RBP1B_ARATH Ran-binding protein 1 homolog b OS=Arabidopsis thaliana OX=3702 GN=RANBP1B PE=1 SV=2', ' sp|Q8RWG8|RBP1B_ARATH Ran-binding protein 1 homolog b OS=Arabidopsis thaliana OX=3702 GN=RANBP1B PE=1 SV=2'], 'UBP1', [' sp|Q9SHZ6|UBA1A_ARATH UBP1-associated proteins 1A OS=Arabidopsis thaliana OX=3702 GN=UBA1A PE=1 SV=2', ' sp|Q9SHZ6|UBA1A_ARATH UBP1-associated proteins 1A OS=Arabidopsis thaliana OX=3702 GN=UBA1A PE=1 SV=2', ' sp|Q9FPS9|UBP15_ARATH Ubiquitin carboxyl-terminal hydrolase 15 OS=Arabidopsis thaliana OX=3702 GN=UBP15 PE=1 SV=2', ' sp|Q9FPS9|UBP15_ARATH Ubiquitin carboxyl-terminal hydrolase 15 OS=Arabidopsis thaliana OX=3702 GN=UBP15 PE=1 SV=2', ' sp|Q9FPS9|UBP15_ARATH Ubiquitin carboxyl-terminal hydrolase 15 OS=Arabidopsis thaliana OX=3702 GN=UBP15 PE=1 SV=2', ' sp|Q9LJH8|UBP1C_ARATH Oligouridylate-binding protein 1C OS=Arabidopsis thaliana OX=3702 GN=UBP1C PE=1 SV=1', ' sp|Q9LJH8|UBP1C_ARATH Oligouridylate-binding protein 1C OS=Arabidopsis thaliana OX=3702 GN=UBP1C PE=1 SV=1', ' sp|Q9LJH8|UBP1C_ARATH Oligouridylate-binding protein 1C OS=Arabidopsis thaliana OX=3702 GN=UBP1C PE=1 SV=1', ' sp|Q9LQI9|UBP1B_ARATH Oligouridylate-binding protein 1B OS=Arabidopsis thaliana OX=3702 GN=UBP1B PE=1 SV=1', ' sp|Q9LQI9|UBP1B_ARATH Oligouridylate-binding protein 1B OS=Arabidopsis thaliana OX=3702 GN=UBP1B PE=1 SV=1', ' sp|Q9LQI9|UBP1B_ARATH Oligouridylate-binding protein 1B OS=Arabidopsis thaliana OX=3702 GN=UBP1B PE=1 SV=1', ' sp|Q9SJA1|UBP19_ARATH Ubiquitin carboxyl-terminal hydrolase 19 OS=Arabidopsis thaliana OX=3702 GN=UBP19 PE=2 SV=2', ' sp|Q9SJA1|UBP19_ARATH Ubiquitin carboxyl-terminal hydrolase 19 OS=Arabidopsis thaliana OX=3702 GN=UBP19 PE=2 SV=2', ' sp|Q9SJA1|UBP19_ARATH Ubiquitin carboxyl-terminal hydrolase 19 OS=Arabidopsis thaliana OX=3702 GN=UBP19 PE=2 SV=2', ' sp|Q9FPT1|UBP12_ARATH Ubiquitin C-terminal hydrolase 12 OS=Arabidopsis thaliana OX=3702 GN=UBP12 PE=1 SV=2', ' sp|Q9SYG4|UBP1A_ARATH Oligouridylate-binding protein 1A OS=Arabidopsis thaliana OX=3702 GN=UBP1A PE=1 SV=1', ' sp|Q9SYG4|UBP1A_ARATH Oligouridylate-binding protein 1A OS=Arabidopsis thaliana OX=3702 GN=UBP1A PE=1 SV=1', ' sp|Q9SYG4|UBP1A_ARATH Oligouridylate-binding protein 1A OS=Arabidopsis thaliana OX=3702 GN=UBP1A PE=1 SV=1', ' sp|Q9FKP5|UBP17_ARATH Ubiquitin carboxyl-terminal hydrolase 17 OS=Arabidopsis thaliana OX=3702 GN=UBP17 PE=2 SV=1', ' sp|Q9FKP5|UBP17_ARATH Ubiquitin carboxyl-terminal hydrolase 17 OS=Arabidopsis thaliana OX=3702 GN=UBP17 PE=2 SV=1', ' sp|O80678|UBA2B_ARATH UBP1-associated protein 2B OS=Arabidopsis thaliana OX=3702 GN=UBA2B PE=2 SV=1', ' sp|O80678|UBA2B_ARATH UBP1-associated protein 2B OS=Arabidopsis thaliana OX=3702 GN=UBA2B PE=2 SV=1', ' sp|Q9LKA4|UBA2C_ARATH UBP1-associated protein 2C OS=Arabidopsis thaliana OX=3702 GN=UBA2C PE=2 SV=1', ' sp|Q9SHZ5|UBA1B_ARATH UBP1-associated proteins 1B OS=Arabidopsis thaliana OX=3702 GN=UBA1B PE=2 SV=2', ' sp|Q9SHZ5|UBA1B_ARATH UBP1-associated proteins 1B OS=Arabidopsis thaliana OX=3702 GN=UBA1B PE=2 SV=2', ' sp|Q9SB51|UBP16_ARATH Ubiquitin carboxyl-terminal hydrolase 16 OS=Arabidopsis thaliana OX=3702 GN=UBP16 PE=1 SV=1', ' sp|Q9SB51|UBP16_ARATH Ubiquitin carboxyl-terminal hydrolase 16 OS=Arabidopsis thaliana OX=3702 GN=UBP16 PE=1 SV=1', ' sp|Q84WU2|UBP13_ARATH Ubiquitin C-terminal hydrolase 13 OS=Arabidopsis thaliana OX=3702 GN=UBP13 PE=1 SV=1', ' sp|O64571|UBA1C_ARATH UBP1-associated proteins 1C OS=Arabidopsis thaliana OX=3702 GN=UBA1C PE=3 SV=2', ' sp|O64571|UBA1C_ARATH UBP1-associated proteins 1C OS=Arabidopsis thaliana OX=3702 GN=UBA1C PE=3 SV=2', ' sp|Q9LES2|UBA2A_ARATH UBP1-associated protein 2A OS=Arabidopsis thaliana OX=3702 GN=UBA2A PE=1 SV=1', ' sp|Q9LES2|UBA2A_ARATH UBP1-associated protein 2A OS=Arabidopsis thaliana OX=3702 GN=UBA2A PE=1 SV=1', ' sp|Q9LES2|UBA2A_ARATH UBP1-associated protein 2A OS=Arabidopsis thaliana OX=3702 GN=UBA2A PE=1 SV=1', ' sp|Q9FPT5|UBP1_ARATH Ubiquitin carboxyl-terminal hydrolase 1 OS=Arabidopsis thaliana OX=3702 GN=UBP1 PE=1 SV=2', ' sp|Q9FPT5|UBP1_ARATH Ubiquitin carboxyl-terminal hydrolase 1 OS=Arabidopsis thaliana OX=3702 GN=UBP1 PE=1 SV=2', ' sp|Q67XW5|UBP18_ARATH Ubiquitin carboxyl-terminal hydrolase 18 OS=Arabidopsis thaliana OX=3702 GN=UBP18 PE=2 SV=2', ' sp|Q9ZSB5|UBP10_ARATH Ubiquitin carboxyl-terminal hydrolase 10 OS=Arabidopsis thaliana OX=3702 GN=UBP10 PE=2 SV=2', ' sp|Q9ZSB5|UBP10_ARATH Ubiquitin carboxyl-terminal hydrolase 10 OS=Arabidopsis thaliana OX=3702 GN=UBP10 PE=2 SV=2']]","['SR1', ['Q9LQX2', 'Q9LU40', 'Q66GP0', 'Q9SR10', 'Q9SR12', 'Q9SR12', 'Q9SAD4', 'Q9SR18', 'Q9SR18', 'A0A178VBJ0', 'A0A178VBJ0'], 'SRp34', [], 'RSZ33', ['Q8VYA5'], 'RS2Z33', ['Q8VYA5'], 'SC35', ['Q9LHP2', 'Q9LHP2', 'Q9SEU4', 'Q9SEU4', 'Q9FMG4', 'Q8L3X8', 'Q8L3X8', 'Q1PDV2', 'Q1PDV2'], 'SRSF2', [], 'SR45', ['Q84TH4', 'Q84TH4', 'Q9SEE9', 'Q9SEE9'], 'SR45a', ['Q84TH4', 'Q84TH4'], 'RBP1', ['P92985', 'P92985', 'Q9FFZ6', 'Q9C652', 'Q9LMK7', 'Q9LMK7', 'Q8RWG8', 'Q8RWG8'], 'UBP1', ['Q9SHZ6', 'Q9SHZ6', 'Q9FPS9', 'Q9FPS9', 'Q9FPS9', 'Q9LJH8', 'Q9LJH8', 'Q9LJH8', 'Q9LQI9', 'Q9LQI9', 'Q9LQI9', 'Q9SJA1', 'Q9SJA1', 'Q9SJA1', 'Q9FPT1', 'Q9SYG4', 'Q9SYG4', 'Q9SYG4', 'Q9FKP5', 'Q9FKP5', 'O80678', 'O80678', 'Q9LKA4', 'Q9SHZ5', 'Q9SHZ5', 'Q9SB51', 'Q9SB51', 'Q84WU2', 'O64571', 'O64571', 'Q9LES2', 'Q9LES2', 'Q9LES2', 'Q9FPT5', 'Q9FPT5', 'Q67XW5', 'Q9ZSB5', 'Q9ZSB5']]"
2,Nucleus,Photobodies,Jonas,,,,,,,,
3,Nucleus,ELF3 condensates,Jonas,,,,,,,,
4,Nucleus,GDACs,Wen,- GBPL3,,,,,,"['GBPL3', [' tr|F4KG14|F4KG14_ARATH Guanylate-binding family protein OS=Arabidopsis thaliana OX=3702 GN=GBPL3 PE=1 SV=1', ' tr|F4KG14|F4KG14_ARATH Guanylate-binding family protein OS=Arabidopsis thaliana OX=3702 GN=GBPL3 PE=1 SV=1']]","['GBPL3', ['F4KG14', 'F4KG14']]"
5,Nucleus,FCA condensates,Jonas,,,,,,,,
6,Nucleus,Nucleolus,Jonas,,,,,,,,
7,Nucleus,D-bodies,Jonas,,,,,,,,
8,Nucleus,Cajal bodies,Emil,SmD3 Coilin U2B snRNPs,,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2017.02184/full,https://elifesciences.org/articles/55542,"['SmD3', [' sp|Q9LM92|SMD3B_ARATH Small nuclear ribonucleoprotein SmD3b OS=Arabidopsis thaliana OX=3702 GN=SMD3B PE=2 SV=1', ' sp|Q9S7E6|SMD3A_ARATH Small nuclear ribonucleoprotein SmD3a OS=Arabidopsis thaliana OX=3702 GN=SMD3A PE=2 SV=1'], 'Coilin', [' sp|Q8RWK8|COIL_ARATH Coilin OS=Arabidopsis thaliana OX=3702 GN=COIL PE=1 SV=1', ' sp|Q8RWK8|COIL_ARATH Coilin OS=Arabidopsis thaliana OX=3702 GN=COIL PE=1 SV=1'], 'U2B', ["" sp|O22922|RU2B1_ARATH U2 small nuclear ribonucleoprotein B'' OS=Arabidopsis thaliana OX=3702 GN=U2B'' PE=1 SV=1"", "" sp|Q8H1S6|RU2B2_ARATH U2 small nuclear ribonucleoprotein B'' 2 OS=Arabidopsis thaliana OX=3702 GN=At1g06960 PE=1 SV=1""], 'snRNPs', []]","['SmD3', ['Q9LM92', 'Q9S7E6'], 'Coilin', ['Q8RWK8', 'Q8RWK8'], 'U2B', ['O22922', 'Q8H1S6'], 'snRNPs', []]"
9,Cytoplasm,TMF condensates,Wen,"- ANANTHA (AN), TFAM1, TFAM2, TFAM3, TFAM4, TFAM5, TFAM6, TFAM7, TFAM8, TFAM9, TFAM10, TFAM11, TFAM12",,,,,,,
10,Cytoplasm,ARF condensates,Emil,"ARF7, IAA3/SHY2, IAA14",,,,https://www.sciencedirect.com/science/article/pii/S1097276519305015,,"['ARF7', [' sp|Q8RV83|Y2172_ARATH B3 domain-containing protein At2g31720 OS=Arabidopsis thaliana OX=3702 GN=ARF70 PE=1 SV=1', ' sp|P93022|ARFG_ARATH Auxin response factor 7 OS=Arabidopsis thaliana OX=3702 GN=ARF7 PE=1 SV=2', ' sp|P93022|ARFG_ARATH Auxin response factor 7 OS=Arabidopsis thaliana OX=3702 GN=ARF7 PE=1 SV=2'], 'IAA3', [' sp|Q8H174|IAA31_ARATH Auxin-responsive protein IAA31 OS=Arabidopsis thaliana OX=3702 GN=IAA31 PE=1 SV=2', ' sp|Q9FKM7|IAA33_ARATH Auxin-responsive protein IAA33 OS=Arabidopsis thaliana OX=3702 GN=IAA33 PE=1 SV=1', ' sp|Q38822|IAA3_ARATH Auxin-responsive protein IAA3 OS=Arabidopsis thaliana OX=3702 GN=IAA3 PE=1 SV=1', ' sp|Q9C5X0|IAA34_ARATH Auxin-responsive protein IAA34 OS=Arabidopsis thaliana OX=3702 GN=IAA34 PE=1 SV=1', ' sp|Q9M1R4|IAA30_ARATH Auxin-responsive protein IAA30 OS=Arabidopsis thaliana OX=3702 GN=IAA30 PE=1 SV=1'], 'SHY2', [], 'IAA14', [' sp|Q38832|IAA14_ARATH Auxin-responsive protein IAA14 OS=Arabidopsis thaliana OX=3702 GN=IAA14 PE=1 SV=2']]","['ARF7', ['Q8RV83', 'P93022', 'P93022'], 'IAA3', ['Q8H174', 'Q9FKM7', 'Q38822', 'Q9C5X0', 'Q9M1R4'], 'SHY2', [], 'IAA14', ['Q38832']]"
