kernel,n_neighbors,gamma,mean_macro_f1,mean_acc
knn,3.0,,0.11946059868218918,0.30574339477726575
knn,5.0,,0.1615638167173487,0.32166098310291863
knn,7.0,,0.14915075173877676,0.2868543010752688
knn,10.0,,0.15210791869576817,0.301784024577573
knn,15.0,,0.1577082657732192,0.3275456989247312
knn,20.0,,0.15987952126564814,0.3390466205837174
rbf,,1.0,0.1537637169005787,0.294371044546851
rbf,,3.0,0.1394602783876051,0.35173471582181265
rbf,,5.0,0.07381521355088391,0.3226490015360983
rbf,,7.0,0.06976759450326486,0.3161728110599078
rbf,,10.0,0.06976759450326486,0.3161728110599078
