kernel,alpha,n_neighbors,gamma,mean_macro_f1,mean_acc
knn,0.1,3.0,,0.1483552015120699,0.33254791481810114
knn,0.1,5.0,,0.16613178243889778,0.2810803016858917
knn,0.1,7.0,,0.16390581096371107,0.26624800354924577
knn,0.1,10.0,,0.1665467455759444,0.2686255545696539
knn,0.1,15.0,,0.17869787574288976,0.286519520851819
knn,0.1,20.0,,0.18312877587043253,0.2896446317657498
knn,0.2,3.0,,0.15270402326345597,0.3343886424134871
knn,0.2,5.0,,0.1582021804695164,0.26360026619343385
knn,0.2,7.0,,0.1658049733959518,0.26664330079858034
knn,0.2,10.0,,0.16440818702462145,0.2647031943212067
knn,0.2,15.0,,0.17746475753834298,0.28455900621118013
knn,0.2,20.0,,0.18092699788651168,0.28700177462289267
knn,0.3,3.0,,0.16687132315185552,0.3361858917480035
knn,0.3,5.0,,0.15386373107310783,0.25554791481810113
knn,0.3,7.0,,0.16880722919004432,0.2705004436557232
knn,0.3,10.0,,0.16583784167036253,0.26858207630878433
knn,0.3,15.0,,0.1809654604281495,0.29249157054125996
knn,0.3,20.0,,0.1812162836007974,0.28700177462289267
knn,0.5,3.0,,0.16202442943677636,0.32409006211180125
knn,0.5,5.0,,0.15639289257920208,0.2534902395740905
knn,0.5,7.0,,0.16895461816583665,0.2764929015084294
knn,0.5,10.0,,0.16781516631194604,0.27690860692102925
knn,0.5,15.0,,0.1801780111454061,0.29251330967169475
knn,0.5,20.0,,0.16846082349178987,0.2714862466725821
knn,0.7,3.0,,0.16143447922070372,0.32213975155279495
knn,0.7,5.0,,0.16068702262660345,0.2615323868677906
knn,0.7,7.0,,0.1725773668457282,0.2865070984915705
knn,0.7,10.0,,0.17507074330264905,0.28711668145519076
knn,0.7,15.0,,0.16888950824618892,0.27701952085181897
knn,0.7,20.0,,0.16530370777681702,0.26955767524401064
knn,0.9,3.0,,0.16143447922070372,0.32213975155279495
knn,0.9,5.0,,0.16352639546080022,0.2715288376220053
knn,0.9,7.0,,0.1744277358870436,0.2885008873114463
knn,0.9,10.0,,0.18192013548407074,0.3007369121561668
knn,0.9,15.0,,0.16835820680475735,0.2783935226264419
knn,0.9,20.0,,0.17470719680270447,0.29043833185448087
rbf,0.1,,1.0,0.16854363041520304,0.32118278615794144
rbf,0.1,,3.0,0.13419377213497585,0.34908473824312336
rbf,0.1,,5.0,0.09700881688315399,0.32060514640638865
rbf,0.1,,7.0,0.09215167402601115,0.31331943212067437
rbf,0.1,,10.0,0.09215167402601115,0.31331943212067437
rbf,0.2,,1.0,0.16777906960523312,0.3194072759538598
rbf,0.2,,3.0,0.14384320304256848,0.3549791481810116
rbf,0.2,,5.0,0.09700881688315399,0.32060514640638865
rbf,0.2,,7.0,0.09215167402601115,0.31331943212067437
rbf,0.2,,10.0,0.09215167402601115,0.31331943212067437
rbf,0.3,,1.0,0.16620619163107694,0.31747870452528837
rbf,0.3,,3.0,0.14241204460867332,0.34912821650399295
rbf,0.3,,5.0,0.09700881688315399,0.32060514640638865
rbf,0.3,,7.0,0.09215167402601115,0.31331943212067437
rbf,0.3,,10.0,0.09215167402601115,0.31331943212067437
rbf,0.5,,1.0,0.16565179253810644,0.3155283939662822
rbf,0.5,,3.0,0.14241204460867332,0.34912821650399295
rbf,0.5,,5.0,0.09700881688315399,0.32060514640638865
rbf,0.5,,7.0,0.09215167402601115,0.31331943212067437
rbf,0.5,,10.0,0.09215167402601115,0.31331943212067437
rbf,0.7,,1.0,0.16565179253810644,0.3155283939662822
rbf,0.7,,3.0,0.14241204460867332,0.34912821650399295
rbf,0.7,,5.0,0.09700881688315399,0.32060514640638865
rbf,0.7,,7.0,0.09215167402601115,0.31331943212067437
rbf,0.7,,10.0,0.09215167402601115,0.31331943212067437
rbf,0.9,,1.0,0.16565179253810644,0.3155283939662822
rbf,0.9,,3.0,0.14241204460867332,0.34912821650399295
rbf,0.9,,5.0,0.09700881688315399,0.32060514640638865
rbf,0.9,,7.0,0.09215167402601115,0.31331943212067437
rbf,0.9,,10.0,0.09215167402601115,0.31331943212067437
