norm,k_graph,alpha,conf_threshold,mean_macro_f1,mean_acc,mean_conf_assigned,pct_assigned
none,10,0.1,0.5,0.14995010342262782,0.30440585441337664,0.9237287005814913,0.8013975685181117
none,10,0.1,0.6,0.14995010342262782,0.30440585441337664,0.9519153877586582,0.7447436964508869
none,10,0.1,0.7,0.14995010342262782,0.30440585441337664,0.9689326010666091,0.7053232890499718
none,10,0.1,0.8,0.14995010342262782,0.30440585441337664,0.9808101945066766,0.6691828988209864
none,10,0.2,0.5,0.15864242168990664,0.31178351135850757,0.9105601659039988,0.8373564935988216
none,10,0.2,0.6,0.15864242168990664,0.31178351135850757,0.9405706456429557,0.7729622929825819
none,10,0.2,0.7,0.15864242168990664,0.31178351135850757,0.9594129679727406,0.726172718038607
none,10,0.2,0.8,0.15864242168990664,0.31178351135850757,0.9734601257350747,0.6802253275113324
none,10,0.3,0.5,0.15585144654835123,0.3023619678050247,0.8995648704627331,0.8512631609129216
none,10,0.3,0.6,0.15585144654835123,0.3023619678050247,0.9325925372895654,0.7776442355099116
none,10,0.3,0.7,0.15585144654835123,0.3023619678050247,0.9516511269089675,0.7284276112588932
none,10,0.3,0.8,0.15585144654835123,0.3023619678050247,0.9695909396775821,0.6687775672436204
none,10,0.5,0.5,0.15922492172392252,0.2956994562530895,0.8800733335106425,0.8423541376059198
none,10,0.5,0.6,0.15922492172392252,0.2956994562530895,0.9169545306748396,0.7579638372945796
none,10,0.5,0.7,0.15922492172392252,0.2956994562530895,0.9424211947806892,0.69184413713344
none,10,0.5,0.8,0.15922492172392252,0.2956994562530895,0.9649424663484201,0.6184067524864075
none,10,0.7,0.5,0.16674766027805357,0.3078273764748867,0.857877470432799,0.8034408341267212
none,10,0.7,0.6,0.16674766027805357,0.3078273764748867,0.9007534018047227,0.7042545103201205
none,10,0.7,0.7,0.16674766027805357,0.3078273764748867,0.930552602593845,0.6290682565389464
none,10,0.7,0.8,0.16674766027805357,0.3078273764748867,0.9582554699761888,0.5457097307387514
none,15,0.1,0.5,0.2094200634123638,0.3532345418986009,0.8965592180625905,0.9078009486012043
none,15,0.1,0.6,0.2094200634123638,0.3532345418986009,0.9380373226036364,0.8121013441583571
none,15,0.1,0.7,0.2094200634123638,0.3532345418986009,0.9602268034735745,0.7541999639764149
none,15,0.1,0.8,0.2094200634123638,0.3532345418986009,0.9742312208089361,0.7070593313824539
none,15,0.2,0.5,0.21048405263589892,0.3603204453136753,0.8824555256915151,0.9044714376401742
none,15,0.2,0.6,0.21048405263589892,0.3603204453136753,0.9242060875975301,0.8051345008835479
