idr,known_label,pred_label,final_label,max_proba,prob_1,prob_2,prob_3,prob_5,prob_6,prob_7,prob_8,prob_10,prob_11,prob_14,prob_15,prob_16,prob_17,batch,prob_4,prob_18
F4IB81_middle_191_325,-1,16,16,0.7460702017776223,0.0,0.00046660958585059963,0.0,0.0,0.253463188636527,0.0,0.0,0.0,0.0,0.0,0.0,0.7460702017776223,0.0,100_150,,
Q0WP38_N-terminal_1_127,-1,6,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q7XA66_C-terminal_93_242,-1,2,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q8LAF9_N-terminal_1_113,-1,2,2,0.9999522297201542,0.0,0.9999522297201542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777027984576121e-05,100_150,,
Q940Y9_N-terminal_1_126,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q9C5H4_middle_131_261,-1,2,2,0.9999994877291436,0.0,0.9999994877291436,0.0,0.0,5.122708563544648e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q9LNP6_C-terminal_213_328,-1,3,3,0.9999525043075794,0.0,0.0,0.9999525043075794,0.0,5.769156649704376e-07,4.691877675551066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q9LUZ5_N-terminal_1_100,-1,2,2,0.9813677565200369,0.018632243479963104,0.9813677565200369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q9LUZ5_middle_517_622,-1,14,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100_150,,
Q9SCU5_C-terminal_406_549,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
A0A1P8BBR6_N-terminal_1_123,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
F4HWT1_IDP_1_117,-1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
F4K3X8_middle_468_613,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
O82387_N-terminal_1_107,-1,7,7,0.9429824172082865,0.0,0.057012972424738316,0.0,0.0,4.5064770318609e-06,0.9429824172082865,0.0,1.0388994341942556e-07,0.0,0.0,0.0,0.0,0.0,100_150,,
P92517_IDP_1_109,-1,1,19,0.5245498049647753,0.5245498049647753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4754501950352248,100_150,,
Q67ZE4_IDP_1_120,-1,2,2,0.9089321420471355,0.0,0.9089321420471355,0.0,0.0,0.027873067454757424,0.0,0.0,0.0,0.0,0.06319479049810721,0.0,0.0,0.0,100_150,,
Q8L649_N-terminal_1_147,-1,11,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100_150,,
Q8L7U6_middle_134_262,-1,7,7,0.7398746838787668,0.0,0.0,0.0,0.0,0.0,0.7398746838787668,0.0,0.0,0.0,0.0,0.0,0.2601253161212333,0.0,100_150,,
Q9FG24_middle_268_393,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q9FVQ5_C-terminal_701_806,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
