idr,known_label,pred_label,final_label,max_proba,prob_1,prob_2,prob_3,prob_5,prob_6,prob_7,prob_8,prob_10,prob_11,prob_14,prob_15,prob_16,prob_17,batch,prob_4,prob_18
F4IB81_middle_191_325,-1,1,19,0.5715773289453941,0.5715773289453941,0.05587471232631274,1.6027726332959934e-06,0.3711980383238008,8.092446949657244e-07,1.1694599787638649e-07,0.0,4.3338791258213625e-07,0.0,0.0013469502892153441,0.0,7.764038343615133e-09,0.0,100_150,,
Q0WP38_N-terminal_1_127,-1,7,19,0.5895770167507349,1.6126391832633432e-05,0.0,0.10979548535087898,0.000188772148899018,0.3004225993576546,0.5895770167507349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q7XA66_C-terminal_93_242,-1,2,2,0.9988959526268177,3.467691850813546e-05,0.9988959526268177,1.762484984883964e-09,1.1882574171157086e-14,3.7830256410423786e-05,0.000170195929390708,0.0,0.0008612951988316546,0.0,9.727512268008187e-12,1.001656036106505e-12,9.641858605435413e-13,4.729585113381699e-08,100_150,,
Q8LAF9_N-terminal_1_113,-1,2,2,0.988543323274989,0.0014749552597421475,0.988543323274989,0.0,0.0,6.743403923022384e-09,7.511200748072948e-08,0.0,3.0388657283846474e-09,0.0,0.009803150317944716,2.0749347123679044e-11,0.0,0.00017848623229767372,100_150,,
Q940Y9_N-terminal_1_126,-1,17,17,0.9803543096061641,0.019645479512133062,2.421070562629724e-08,0.0,0.0,5.3275064086133e-08,1.1571850795590662e-07,0.0,3.7072485761487474e-09,0.0,1.3970170985400767e-08,5.524901149494466e-15,0.0,0.9803543096061641,100_150,,
Q9C5H4_middle_131_261,-1,2,19,0.5779577368234592,0.0017255478198483802,0.5779577368234592,3.54612253943034e-05,2.140428190004601e-05,0.0017680047556327193,0.3201973385389248,8.914345053959638e-10,0.04027609298693342,0.0,0.008666385010746704,1.681893021297356e-07,0.049351859476423836,0.0,100_150,,
Q9LNP6_C-terminal_213_328,-1,6,6,0.9919210459719248,1.2695165220861656e-06,0.005712087390682585,2.9855590973717694e-05,0.0,0.9919210459719248,0.0023341893077346394,0.0,1.5508747671247623e-06,0.0,8.563178566814503e-10,0.0,2.2577375501548936e-10,2.6530336602081026e-10,100_150,,
Q9LUZ5_N-terminal_1_100,-1,8,19,0.4365725029137036,0.38532411131429906,0.1628430242788355,5.183785336807465e-09,1.665428868974708e-06,3.61397937524681e-06,1.392681063805783e-05,0.4365725029137036,0.0,0.015227295189964872,0.0,1.3854697195737677e-05,2.033334718160831e-10,0.0,100_150,,
Q9LUZ5_middle_517_622,-1,1,1,0.9965059717190323,0.9965059717190323,0.0,0.0,0.0,0.001707701642611834,0.0,0.0,0.0,0.0,0.0017863266383558196,0.0,0.0,0.0,100_150,,
Q9SCU5_C-terminal_406_549,-1,6,6,0.8589404642268323,0.09377791569132173,0.036664710981938076,7.966066731526966e-10,0.00010062496457254807,0.8589404642268323,7.319582097700728e-08,0.0002150154896944614,3.1277208617509494e-08,1.93880357716707e-08,5.394162489025638e-09,4.465419337442604e-08,0.010301093939612918,0.0,100_150,,
A0A1P8BBR6_N-terminal_1_123,-1,1,1,0.984555207013196,0.984555207013196,0.0,0.0,0.0,0.015444792986803886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
F4HWT1_IDP_1_117,-1,1,19,0.7959621965740752,0.7959621965740752,5.419572513880665e-06,0.0,5.793038581630729e-06,2.5271821020919266e-06,1.0993003263343278e-05,0.20400163671386168,1.8076003613631448e-10,3.0448175549704164e-10,0.0,1.1432535916514542e-05,8.944439212943194e-10,0.0,100_150,,
F4K3X8_middle_468_613,-1,1,1,0.945418023022559,0.945418023022559,0.006525039783169192,6.038176430795872e-14,0.0002519557269879445,0.002155849858498491,2.494012473747888e-07,0.0012125873987544106,6.82315088955467e-08,1.0046856266722517e-10,3.164046248423133e-11,2.109888943103092e-07,0.04443601545621078,0.0,100_150,,
O82387_N-terminal_1_107,-1,2,2,0.9981190501774385,0.0003380268969840352,0.9981190501774385,0.0,7.773950403887656e-09,0.0011350078043257932,0.00028379184093944577,3.1026520517201166e-13,4.842395405391747e-06,0.0,1.3135248874440835e-11,0.00011927307375516739,2.3514282977634137e-11,2.4133204137759315e-13,100_150,,
P92517_IDP_1_109,-1,1,19,0.6134723982291509,0.6134723982291509,0.3702457969083563,9.359462648919054e-08,0.0,6.672823574979823e-05,0.002794591037019187,0.0,0.0007656708974974076,0.0,6.761473110197066e-07,6.882789916347496e-11,0.0,0.01265404488146098,100_150,,
Q67ZE4_IDP_1_120,-1,1,1,0.9952019130467046,0.9952019130467046,7.072365977131463e-05,0.0,0.0,3.0931532440501163e-08,0.0036318832512110284,0.0,5.268876842726096e-05,0.0,2.9221041143020157e-05,2.442191933475291e-08,0.0,0.0010135148792907946,100_150,,
Q8L649_N-terminal_1_147,-1,6,19,0.3576275485603922,0.2312158395967756,0.05296823257027864,0.0010907331086722084,0.009849582466446174,0.3576275485603922,1.5966125181821534e-06,4.570094863659196e-08,0.0,0.34724642138396833,0.0,0.0,0.0,0.0,100_150,,
Q8L7U6_middle_134_262,-1,16,16,0.9102182840034506,0.0012725422909413806,0.048064609843010205,8.681162449718411e-09,9.987686878972788e-05,0.03799885097454586,0.002061670701251668,1.503913326889008e-08,0.0002821324577939109,0.0,1.9690503434161565e-06,4.0089577636007173e-08,0.9102182840034506,0.0,100_150,,
Q9FG24_middle_268_393,-1,6,19,0.6657965197475268,0.3341573670205459,0.0,0.0,0.0,0.6657965197475268,0.0,0.0,0.0,0.0,4.611323192724963e-05,0.0,0.0,0.0,100_150,,
