idr,known_label,pred_label,final_label,max_proba,prob_1,prob_2,prob_3,prob_5,prob_6,prob_7,prob_8,prob_10,prob_11,prob_14,prob_15,prob_16,prob_17,batch,prob_4,prob_18
F4IB81_middle_191_325,-1,6,6,0.8214874743906408,0.13632025107491672,0.0008014405119257702,0.0,0.0,0.8214874743906408,1.3579477175969233e-05,0.0,0.0,0.0,0.0,0.0,0.04137725454534069,0.0,100_150,,
Q0WP38_N-terminal_1_127,-1,3,3,0.9580859852307559,9.578670795217322e-08,0.0,0.9580859852307559,0.0015069405989622106,0.04034085155320854,6.612683036544802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q7XA66_C-terminal_93_242,-1,1,1,0.6398584281658447,0.6398584281658447,0.3530962948905464,0.0,0.0,3.633642238631848e-08,7.882087230571447e-05,0.0,0.0053278363838990825,0.0,0.001638578324439733,0.0,0.0,5.02654168769052e-09,100_150,,
Q8LAF9_N-terminal_1_113,-1,17,17,0.7192997215974924,0.004523684493294857,0.2761688027249761,9.893231003613204e-08,0.0,7.691695156415783e-06,5.567701138233514e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.7192997215974924,100_150,,
Q940Y9_N-terminal_1_126,-1,1,1,0.9935851239185419,0.9935851239185419,1.049978329959848e-05,0.0,0.0,2.201467265458611e-08,0.0,0.0,0.0,0.0,6.6417083171684096e-09,0.0,0.0,0.006404347641777405,100_150,,
Q9C5H4_middle_131_261,-1,2,2,0.8374451449457064,0.16249107460548132,0.8374451449457064,0.0,0.0,6.123672998366684e-05,4.032731719730303e-07,0.0,0.0,0.0,0.0,0.0,2.1404456564659366e-06,0.0,100_150,,
Q9LNP6_C-terminal_213_328,-1,6,19,0.5339311059976937,4.114260290183702e-06,0.00021181719681493072,0.46564596680892795,0.0,0.5339311059976937,2.888685717132433e-05,0.0,0.0,0.0,0.00017798023905826364,0.0,0.0,1.2864004365158403e-07,100_150,,
Q9LUZ5_N-terminal_1_100,-1,1,1,0.991618097815505,0.991618097815505,0.0017470916665916906,0.0,0.0,0.004383968069593232,0.0,0.0,0.0,0.0,0.0,0.0,0.0022508424483102395,0.0,100_150,,
Q9LUZ5_middle_517_622,-1,6,6,0.6469894618832482,0.046447700936062895,0.0,0.0,0.0,0.6469894618832482,0.0,0.0,0.0,0.0,0.3065628371806888,0.0,0.0,0.0,100_150,,
Q9SCU5_C-terminal_406_549,-1,2,2,0.6858443249155324,0.31391224264287265,0.6858443249155324,9.854875076917756e-07,0.0,0.0002186117151091056,0.0,0.0,0.0,1.0382469358869294e-05,1.3452769619268974e-05,0.0,0.0,0.0,100_150,,
