idr,known_label,pred_label,final_label,max_proba,prob_1,prob_2,prob_3,prob_5,prob_6,prob_7,prob_8,prob_10,prob_11,prob_14,prob_15,prob_16,prob_17,batch,prob_4,prob_18
F4IB81_middle_191_325,-1,16,19,0.45434905146504967,0.055823715479896494,0.05539040173136482,4.654975253950104e-06,0.43423656402525257,0.00011983696913090341,7.553410181503798e-05,0.0,0.0,0.0,2.4122504060302595e-07,0.0,0.45434905146504967,2.719580209207719e-11,100_150,,
Q0WP38_N-terminal_1_127,-1,6,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q7XA66_C-terminal_93_242,-1,17,17,0.9172173444702002,0.07518453088584283,0.001526987583139697,0.00016728002872281092,0.0,0.000284038057186898,0.00021265109915184042,0.0,0.004076609293868629,0.0,0.0013305585818869947,0.0,0.0,0.9172173444702002,100_150,,
Q8LAF9_N-terminal_1_113,-1,17,17,0.8928232686167431,0.056160043375852654,0.04411821998060701,1.6223883258993425e-06,0.0,0.0068137342626537764,2.5382883138672247e-05,0.0,2.8955441272345203e-06,0.0,5.483294855173882e-05,0.0,0.0,0.8928232686167431,100_150,,
Q940Y9_N-terminal_1_126,-1,17,17,0.9837240895736497,0.009396656347696944,0.003917605520237509,1.1661232161494809e-05,0.0,3.296606452747178e-05,0.00021793155429609918,0.0,5.9458973091974844e-06,0.0,0.0026931438101215907,0.0,0.0,0.9837240895736497,100_150,,
Q9C5H4_middle_131_261,-1,3,3,0.8278333783541244,0.15338895922471552,0.014971540509866684,0.8278333783541244,2.1336563799580604e-12,0.0025806211260012285,0.0001884921905063933,0.0,2.0251544788022112e-08,0.0,0.0010362354568564038,0.0,6.460693755076028e-07,1.0681487549828302e-07,100_150,,
Q9LNP6_C-terminal_213_328,-1,7,7,0.6346451231466446,0.0004210690922090266,0.03899817256176824,0.26829868784483124,0.0,0.05763142064528143,0.6346451231466446,0.0,4.861395559464599e-06,0.0,4.082245223834992e-07,0.0,0.0,2.5708918370377224e-07,100_150,,
Q9LUZ5_N-terminal_1_100,-1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
Q9LUZ5_middle_517_622,-1,1,1,0.9372520185804076,0.9372520185804076,0.0,0.0,0.0,0.0627478607431841,0.0,0.0,0.0,0.0,1.206764082284221e-07,0.0,0.0,0.0,100_150,,
Q9SCU5_C-terminal_406_549,-1,8,8,0.9464186535933352,0.0518589166749787,0.0010305593555503777,3.41943450181671e-06,0.0,1.3163810138792902e-07,0.0006883193035325219,0.9464186535933352,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
A0A1P8BBR6_N-terminal_1_123,-1,6,6,0.9986294985782401,0.0,0.0,0.0,0.0013705014217599005,0.9986294985782401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
F4HWT1_IDP_1_117,-1,1,1,0.9999999969998152,0.9999999969998152,2.79304913650507e-09,0.0,0.0,0.0,1.2425805605104822e-10,8.287750032733488e-11,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
F4K3X8_middle_468_613,-1,8,8,0.995524761694323,0.004417722443712329,3.417627715201111e-05,9.751081792280064e-08,0.0,3.3116989152658367e-09,2.3238762295766126e-05,0.995524761694323,0.0,0.0,0.0,0.0,0.0,0.0,100_150,,
O82387_N-terminal_1_107,-1,2,2,0.9530994365651698,0.0005907488495764498,0.9530994365651698,4.1839996663693825e-07,8.237577485627821e-13,7.94262849515209e-05,0.010073408270808373,0.0,0.03604169320259461,0.0,0.00011370193466593325,0.0,8.941692292692092e-11,1.166402025996626e-06,100_150,,
P92517_IDP_1_109,-1,1,1,0.8191067123446881,0.8191067123446881,0.0010372564537899141,0.0020558503610085288,0.0,0.007434121621879369,0.0007677229531988953,0.0,0.0005651573031356344,0.0,0.0003953149247756748,0.0,0.0,0.16863786403752384,100_150,,
